metric,replications,mean_difference_aiba_minus_broad,std_difference,ci95_low,ci95_high,aiba_wins,ties,broad_wins
best_r2,10,-3.370614914133263e-06,0.0006109981137628939,-0.00038207116928338705,0.0003753299394551205,2,5,3
mean_r2,10,0.11034157008264915,0.02734702454471422,0.09339170866384323,0.12729143150145505,10,0,0
median_r2,10,0.38444078629273426,0.1256516476772833,0.30656108820374295,0.46232048438172557,10,0,0
p75_r2,10,0.06517902975920539,0.039647991602167344,0.04060494996884624,0.08975310954956454,10,0,0
p90_r2,10,0.005625081594303338,0.003884215948246528,0.00321761960750303,0.008032543581103646,9,1,0
above_090,10,8.8,3.6147844564602556,6.559533381934321,11.04046661806568,10,0,0
above_095,10,8.2,3.7058512292499457,5.903089611383733,10.496910388616266,10,0,0
total_seconds,10,59.624399270047434,72.23083201150294,14.855265766758684,104.39353277333618,9,0,1
