batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
8,1,0.04066362581841939,94,0.016311914227140786,2,0.5,-0.027648819311711037,0.3724244999466464,1,9683,112083,1,initial_shared
5,7,0.0012158782204277371,160,3.179978578344154e-05,1,0.5,0.19092885578695318,0.5060032999608666,7,1281,112084,1,initial_shared
8,1,0.02357595915652592,23,0.0015320121901795166,3,1.0,0.14930424885230764,0.6428360999561846,1,1289,112085,1,initial_shared
3,277,0.03737054803050933,9,4.4819833006419e-05,2,1.0,0.9462940850815044,12.367942800046876,277,163,112086,1,initial_shared
45,60,0.00010548591425371707,103,0.040440513066456185,1,0.5,-0.3620709025503497,0.5489327000686899,60,825,112087,1,initial_shared
124,220,0.0021321020399374174,86,0.17103236427631371,2,0.5,0.8988781538639539,0.9650868999306113,220,8171,112088,1,initial_shared
41,39,0.0007711813738230277,6,5.163328132387358e-05,3,1.0,-0.3247697332091686,0.6127601999323815,39,133,112089,1,initial_shared
2,143,0.021059227903217598,100,0.001354222720988539,3,0.0,0.96326436461741,12.400800599949434,143,21001,112090,1,initial_shared
1,15,6.294032032766972e-05,27,0.00013685784920157464,3,0.5,-0.32531521458690005,2.4997040999587625,15,1729,112091,1,initial_shared
116,128,0.0023712563387537256,7,2.562722757015553e-05,1,0.5,-0.37978738381687616,0.6482527999905869,128,57,112092,1,initial_shared
11,8,0.0021168679748999014,24,5.147597859473215e-05,1,0.5,-0.16347005306622764,0.5197633999632671,8,193,112093,1,initial_shared
3,162,0.00010746724686170201,81,0.004644237762875652,1,1.0,0.5965907769003367,7.104820400010794,162,649,112094,1,initial_shared
101,36,0.011959196653339813,330,7.990953910786974e-05,2,0.5,0.463707042967307,0.6120209000073373,36,111871,112095,1,initial_shared
149,58,0.02506527212107792,363,0.0004578138875644875,1,0.5,0.8214497614719098,0.4547955000307411,58,2905,112096,1,initial_shared
3,3,0.012602857891085633,102,0.0018339029306872247,1,0.5,0.7126833366275181,0.40528190007898957,3,817,112097,1,initial_shared
3,88,0.0008572366486255051,35,0.04591968793668133,3,1.0,0.9908502899150425,4.7126027001068,88,2801,112098,1,initial_shared
55,1,0.0008260952529773925,15,2.1700517275071903e-05,1,0.5,-0.4000887101852666,0.30825669993646443,1,121,112099,1,initial_shared
130,126,1.9070272513511565e-05,32,0.3922684924968131,1,0.0,-0.5469938168288144,0.5230405000038445,126,257,112100,1,initial_shared
13,1,9.028661265497272e-05,162,0.003295383394555721,3,1.0,-0.5245526463536574,0.4499061999376863,1,54109,112101,1,initial_shared
3,83,1.3147271175090132e-05,298,0.0004756925694287857,3,1.0,0.5111308028312411,8.306735399994068,83,180589,112102,1,initial_shared
53,54,2.7735749839290277e-05,36,3.2204066522022095e-05,1,1.0,-0.5530824879847576,0.4833580000558868,54,289,112103,1,initial_shared
165,63,0.0005617233288620458,399,0.15240011116191898,1,1.0,0.08190420533031162,0.48406409996096045,63,3193,112104,1,initial_shared
80,1,0.00026392910304082233,114,0.0005508076052655027,2,0.0,-0.5592695669477521,0.3433641999727115,1,14023,112105,1,initial_shared
202,108,2.9640021556343808e-05,144,0.0032082513024448943,1,1.0,-0.5485255597046543,0.530020899954252,108,1153,112106,1,initial_shared
2,50,0.014045443242829485,147,0.02180240872215083,2,0.0,0.9801036653883819,4.050590900005773,50,22933,112107,1,initial_shared
1,7,0.0014516728316073292,5,0.000301508000143892,3,0.0,0.908242553136521,1.3954582000151277,7,101,112108,1,initial_shared
10,109,0.00041271974351067423,5,0.6711842997701748,3,0.0,-0.48596171768737717,2.1887093000113964,109,101,112109,1,initial_shared
88,182,0.0005794760143147663,193,4.619060925264151e-05,1,1.0,0.6250626206982473,0.8370999000035226,182,1545,112110,1,initial_shared
4,3,0.0019023326592360736,94,1.977362482067327e-05,3,0.5,-0.0039298927446864695,0.8331579000223428,3,18613,112111,1,initial_shared
1,58,1.7146937591644312e-05,160,0.0011238710383805121,2,0.0,0.6761358280125449,9.191998600028455,58,27041,112112,1,initial_shared
1,221,0.038912824869563226,37,0.00018989159858641663,1,0.0,0.9826872520087636,29.089571799966507,221,297,112113,1,initial_shared
43,2,0.001005688477336333,561,0.020508782918781717,3,0.0,0.3962714236082666,0.46892390004359186,2,635053,112114,1,initial_shared
52,388,0.00010645627735783403,5,0.0015178377019135594,1,1.0,-0.4871971689014776,1.4882359000621364,388,41,112115,1,initial_shared
17,23,1.6917584569997806e-05,7,0.056692611172210874,1,0.0,-0.6109398634122654,0.4788164999336004,23,57,112116,1,initial_shared
2,207,0.00041203685343201257,3,2.6241927790428477e-05,3,0.5,0.3497226462932953,14.360546399955638,207,49,112117,1,initial_shared
19,4,0.005780937053402434,431,0.6850606794630903,3,0.5,-0.020920330316809288,0.5749185999156907,4,375833,112118,1,initial_shared
1,33,0.0011991472755404744,378,0.0560806912389482,3,0.5,0.9874906065591266,14.29771009995602,33,289549,112119,1,initial_shared
163,5,2.8705145668732035e-05,22,0.023025206462095833,3,0.5,-0.5734415067804175,0.4454656000016257,5,1189,112120,1,initial_shared
3,1,0.006329766794002156,17,1.0340273661229509e-05,2,0.5,-0.18041217584764735,0.42560870002489537,1,443,112121,1,initial_shared
124,300,0.05977782434474677,9,0.0005723314270434777,1,1.0,0.9943328612899179,0.7932917000725865,300,73,112122,1,initial_shared
114,8,0.0001259379876564429,378,0.0825468237714463,3,0.5,-0.25419535204479615,0.5374073999701068,8,289549,112123,1,initial_shared
39,279,2.44321154346975e-05,6,0.013803683533554273,1,0.5,-0.51304665844352,1.6025874000042677,279,49,112124,1,initial_shared
3,48,1.1286470695808854e-05,24,0.27698552150170863,3,0.0,-0.5317121592156748,2.933866399922408,48,1393,112125,1,initial_shared
183,2,0.023039034909320272,13,0.010450479427789571,1,1.0,-0.4711128475214412,0.3054717000341043,2,105,112126,1,initial_shared
2,375,0.0017166795247058793,52,0.005833521637420475,2,1.0,0.9877868715951345,25.456417899928056,375,3173,122027,1,guided_extension
14,138,0.058474231412163076,4,0.1263427602463018,1,0.0,0.9572291451420799,1.5894905000459403,138,33,122028,1,guided_extension
60,61,0.0029491780060235005,57,0.13770252924598805,1,1.0,0.5452679485226528,0.5048884999705479,61,457,122029,1,guided_extension
