model,point_interval_norm,point_interval_denorm,initial_interval_norm,initial_interval_norm_log,initial_interval_denorm,optimal_interval_norm,optimal_interval_norm_log,optimal_interval_denorm,suboptimal_interval_norm,suboptimal_interval_norm_log,suboptimal_interval_denorm,final_interval_norm,final_interval_norm_log,final_interval_denorm,initial_metric,optimal_metric,suboptimal_metric,final_metric,initial_points,optimal_points,suboptimal_points,final_points,initial_range,optimal_range,suboptimal_range,final_range,initial_range_log,optimal_range_log,suboptimal_range_log,final_range_log,initial_loss_mean,optimal_loss_mean,suboptimal_loss_mean,final_loss_mean
1,"[[0.01968503937007874, 0.01968503937007874], [0.7027707808564232, 0.7027707808564232], [0.0596287089193793, 0.0596287089193793], [0.20538720538720537, 0.20538720538720537], [0.00012293864341715284, 0.00012293864341715284], [1.0, 1.0], [0.27393583577055425, 0.27393583577055425]]","[[6.0, 280.0, 0.0059443273413392, 125.0, 9.57734211926949e-05, 3.0, 0.2740920292721126], [6.0, 280.0, 0.0059443273413392, 125.0, 9.57734211926949e-05, 3.0, 0.2740920292721126]]","[[0.0, 0.4196850393700787], [0.3027707808564232, 1.0], [0.0, 0.4596287089193793], [0.0, 0.6053872053872054], [0.0, 0.4001229386434172], [0.6000000000000001, 1.0], [0.0, 0.6739358357705543]]","[[0.0, 0.9371540193132097], [0.9135191664275577, 1.0], [0.0, 0.9437346137334071], [0.0, 0.9636722561575097], [0.0, 0.9336990216095433], [0.9630252593284717, 1.0], [0.0, 0.9714364621042656]]","[[1.0, 121.20000000000003, 1.0173122203194537e-05, 3.0, 1.0040260302302147e-05, 2.2, 0.000433453800505], [107.6, 398.00000000000006, 0.045751690785409395, 362.6, 0.2790419485452659, 3.0, 0.6736871749044221]]","[[0.0, 0.10968503937007873], [0.27277078085642326, 1.0], [0.01, 0.4596287089193793], [0.0, 0.3053872053872053], [0.0, 0.14012293864341718], [0.6000000000000001, 1.0], [0.0, 0.7239358357705543]]","[[0.0, 0.8400251650167602], [0.9059665076084393, 1.0], [0.666673856290705, 0.9437346137334071], [0.0, 0.9141419771408107], [0.0, 0.8577519939288242], [0.9630252593284717, 1.0], [0.0, 0.9766167085122183]]","[[1.0, 109.29000000000005, 0.0010053572083049496, 3.0, 1.0040260302302147e-05, 2.2, 0.000433453800505], [28.859999999999996, 398.00000000000006, 0.045751690785409395, 184.39999999999995, 0.09772693471461832, 3.0, 0.7236365681084609]]","[[0.0, 0.10968503937007873], [0.25277078085642324, 1.0], [0.01, 0.7596287089193793], [0.0, 0.3153872053872053], [0.0, 0.1501229386434172], [0.4900000000000001, 1.0], [0.0, 0.7839358357705544]]","[[0.0, 0.8400251650167602], [0.9004546995217163, 1.0], [0.666673856290705, 0.9801002526481488], [0.0, 0.9164741749851935], [0.0, 0.8627415958888311], [0.948366092412154, 1.0], [0.0, 0.9823801074991129]]","[[1.0, 101.35000000000004, 0.0010053572083049496, 3.0, 1.0040260302302147e-05, 1.9800000000000002, 0.000433453800505], [28.859999999999996, 398.00000000000006, 0.07560721336846205, 190.33999999999995, 0.10470058909272016, 3.0, 0.7835758399533073]]","[[0.0, 0.10968503937007873], [0.26277078085642325, 1.0], [0.01, 0.6096287089193793], [0.0, 0.3103872053872053], [0.0, 0.1451229386434172], [0.5450000000000002, 1.0], [0.0, 0.7539358357705543]]","[[0.0, 0.8400251650167602], [0.903263055348317, 1.0], [0.666673856290705, 0.9641776174109552], [0.0, 0.9153174687311265], [0.0, 0.8602897804914343], [0.9560661473220793, 1.0], [0.0, 0.9795557561885903]]","[[1.0, 105.32000000000004, 0.0010053572083049496, 3.0, 1.0040260302302147e-05, 2.0900000000000003, 0.000433453800505], [28.859999999999996, 398.00000000000006, 0.060679452076935717, 187.36999999999995, 0.10121376190366924, 3.0, 0.7536062040308841]]",-0.5930468506648034,-0.9927035732074388,-0.9394776522600713,-0.9927035732074388,27,10,24,10,0.008782364212760848,0.00044441927832050086,0.0011630255984040674,0.0007492349201630716,0.0024719320022517613,0.000619661558636786,0.0010511486812960365,0.0008192606370465461,-0.6905833814442746,-0.9944595811453338,-0.9615493239911613,-0.9944595811453338
2,"[[0.05905511811023622, 0.05905511811023622], [0.5062972292191436, 0.5062972292191436], [0.19644362943744553, 0.19644362943744553], [0.3602693602693603, 0.3602693602693603], [1.5864735662038844e-05, 1.5864735662038844e-05], [0.0, 0.0], [0.3113542608880242, 0.3113542608880242]]","[[16.0, 201.99999999999997, 0.0195599305054248, 217.0, 2.110377863300269e-05, 1.0, 0.3114725818574803], [16.0, 201.99999999999997, 0.0195599305054248, 217.0, 2.110377863300269e-05, 1.0, 0.3114725818574803]]","[[0.0, 0.45905511811023625], [0.10629722921914353, 0.9062972292191436], [0.0, 0.5964436294374456], [0.0, 0.7602693602693602], [0.0, 0.4000158647356621], [0.0, 0.4], [0.0, 0.7113542608880241]]","[[0.0, 0.9436442283407478], [0.8377542776681368, 0.99287845004021], [0.0, 0.962594952395458], [0.0, 0.9801612723050984], [0.0, 0.9336796493507238], [0.0, 0.93367677859539], [0.0, 0.9753476873553646]]","[[1.0, 43.19999999999998, 1.0173122203194537e-05, 3.0, 1.0040260302302147e-05, 1.0, 0.000433453800505], [117.60000000000001, 360.8, 0.059367293949495, 454.6, 0.27896727890270623, 1.8, 0.7110677274897896]]","[[0.0, 0.45905511811023625], [0.09629722921914353, 0.9062972292191436], [0.03, 0.6664436294374456], [0.01, 0.4902693602693602], [0.0, 0.4000158647356621], [0.0, 0.4], [0.06, 0.7513542608880242]]","[[0.0, 0.9436442283407478], [0.8306029900739745, 0.99287845004021], [0.7461892344825697, 0.9706272751664419], [0.666673856290705, 0.9484058710822397], [0.0, 0.9336796493507238], [0.0, 0.93367677859539], [0.7963596904517073, 0.979307484386584]]","[[1.0, 39.22999999999998, 0.0029957253805084597, 8.94, 1.0040260302302147e-05, 1.0, 0.06037272564535142], [117.60000000000001, 360.8, 0.0663335825522073, 294.21999999999997, 0.27896727890270623, 1.8, 0.7510272420530206]]","[[0.0, 0.9990551181102363], [0.08629722921914354, 0.9062972292191436], [0.03, 0.8564436294374456], [0.01, 0.4902693602693602], [0.0, 0.4500158647356621], [0.0, 0.5], [0.06, 0.7813542608880242]]","[[0.0, 0.9999315749096721], [0.8226669211833814, 0.99287845004021], [0.7461892344825697, 0.9887831434882246], [0.666673856290705, 0.9484058710822397], [0.0, 0.94220473006887], [0.0, 0.9498284100698472], [0.7963596904517073, 0.9821413523462376]]","[[1.0, 35.259999999999984, 0.0029957253805084597, 8.94, 1.0040260302302147e-05, 1.0, 0.06037272564535142], [254.76000000000002, 360.8, 0.08524208018814063, 294.21999999999997, 0.31383555079321535, 2.0, 0.7809968779754439]]","[[0.0, 0.7290551181102363], [0.09129722921914354, 0.9062972292191436], [0.03, 0.7614436294374456], [0.01, 0.4902693602693602], [0.0, 0.4250158647356621], [0.0, 0.45], [0.06, 0.7663542608880242]]","[[0.0, 0.9771267557458984], [0.8267436658630904, 0.99287845004021], [0.7461892344825697, 0.9802729836938348], [0.666673856290705, 0.9484058710822397], [0.0, 0.9380676259779657], [0.0, 0.9422021782800196], [0.7963596904517073, 0.9807382861951613]]","[[1.0, 37.24499999999998, 0.0029957253805084597, 8.94, 1.0040260302302147e-05, 1.0, 0.06037272564535142], [186.18, 360.8, 0.07578783137017396, 294.21999999999997, 0.2964014148479608, 1.9, 0.7660120600142323]]",-0.3111970757698212,-0.9900330850054163,-0.7381017579691972,-0.9900330850054163,46,10,37,10,0.018954610207002735,0.012572815087025829,0.052777382660082625,0.02819836572742989,0.11743100925255688,0.0015442422630014099,0.0019340541426999538,0.0017446475216217738,-0.3946972247600424,-0.9916067708778733,-0.8011512738740254,-0.9916067708778733
3,"[[0.07480314960629922, 0.07480314960629922], [0.2795969773299748, 0.2795969773299748], [0.06656586221003301, 0.06656586221003301], [0.14646464646464646, 0.14646464646464646], [0.0007070893094059752, 0.0007070893094059752], [1.0, 1.0], [0.5535201933605359, 0.5535201933605359]]","[[20.0, 112.0, 0.0066347017971099, 90.0, 0.0005031399061271, 3.0, 0.5533934094913237], [20.0, 112.0, 0.0066347017971099, 90.0, 0.0005031399061271, 3.0, 0.5533934094913237]]","[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [5.551115123125783e-17, 1.0], [0.0, 1.0]]","[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [4.018030819804073e-12, 1.0], [0.0, 1.0]]","[[1.0, 1.0, 1.0173122203194537e-05, 3.0, 1.0040260302302147e-05, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.0995285817323787, 597.0, 0.6973754780704853, 3.0, 0.9994213178812787]]","[[0.01, 1.0], [0.07, 1.0], [0.02, 0.99], [0.01, 1.0], [0.01, 0.94], [0.0, 0.49], [0.0, 0.99]]","[[0.666673856290705, 1.0], [0.8075173155794478, 1.0], [0.71684189975415, 0.9992725332167155], [0.666673856290705, 1.0], [0.666673856290705, 0.9955213138776103], [0.0, 0.948366092412154], [0.0, 0.9992725332167155]]","[[3.54, 28.790000000000003, 0.0020005412944067045, 8.94, 0.006983694638404132, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.09853339764627694, 597.0, 0.6555335518018742, 1.98, 0.989431439240471]]","[[0.0, 1.0], [0.07, 1.0], [0.02, 0.99], [0.01, 1.0], [0.01, 1.0], [0.0, 0.5], [0.0, 0.99]]","[[0.0, 1.0], [0.8075173155794478, 1.0], [0.71684189975415, 0.9992725332167155], [0.666673856290705, 1.0], [0.666673856290705, 1.0], [0.0, 0.9498284100698472], [0.0, 0.9992725332167155]]","[[1.0, 28.790000000000003, 0.0020005412944067045, 8.94, 0.006983694638404132, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.09853339764627694, 597.0, 0.6973754780704853, 2.0, 0.989431439240471]]","[[0.005, 1.0], [0.07, 1.0], [0.02, 0.99], [0.01, 1.0], [0.01, 0.97], [0.0, 0.495], [0.0, 0.99]]","[[0.6165094311335262, 1.0], [0.8075173155794478, 1.0], [0.71684189975415, 0.9992725332167155], [0.666673856290705, 1.0], [0.666673856290705, 0.9977952914425853], [0.0, 0.9491009440176958], [0.0, 0.9992725332167155]]","[[2.2700000000000005, 28.790000000000003, 0.0020005412944067045, 8.94, 0.006983694638404132, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.09853339764627694, 597.0, 0.6764545149361798, 1.99, 0.989431439240471]]",-0.16167076925200854,-0.9817893229003227,-0.8011632648341771,-0.9817893229003227,647,10,39,10,1.0,0.39887727590403,0.43765336394999993,0.4180464932450399,0.999999999995982,0.0018823339684189728,0.005732859899458842,0.002182283575542726,-0.18480223364730267,-0.9846459751192189,-0.8454799157882454,-0.9846459751192189
4,"[[0.28346456692913385, 0.28346456692913385], [0.6045340050377834, 0.6045340050377834], [0.20915887478189749, 0.20915887478189749], [0.101010101010101, 0.101010101010101], [1.0150965222070417e-05, 1.0150965222070417e-05], [0.5, 0.5], [0.6920992283726886, 0.6920992283726886]]","[[73.0, 241.00000000000003, 0.0208253314871926, 62.99999999999999, 1.7119192608587225e-05, 2.0, 0.6918321836844887], [73.0, 241.00000000000003, 0.0208253314871926, 62.99999999999999, 1.7119192608587225e-05, 2.0, 0.6918321836844887]]","[[0.0, 0.6834645669291339], [0.2045340050377834, 1.0], [0.0, 0.6091588747818975], [0.0, 0.501010101010101], [0.0, 0.4000101509652221], [0.09999999999999998, 0.8999999999999999], [0.29209922837268854, 1.0]]","[[0.0, 0.9724527028867175], [0.8851278769005384, 1.0], [0.0, 0.9641218116696457], [0.0, 0.949974489360181], [0.0, 0.9336786154457668], [0.8333339968351549, 0.9923737601677081], [0.9109219168183207, 1.0]]","[[1.0, 82.20000000000002, 1.0173122203194537e-05, 3.0, 1.0040260302302147e-05, 1.2, 0.29223703805217927], [174.60000000000002, 398.00000000000006, 0.0606326949312628, 300.6, 0.27896329431668176, 2.8, 0.9994213178812787]]","[[0.01, 0.5134645669291339], [0.2045340050377834, 1.0], [0.01, 0.6091588747818975], [0.01, 0.501010101010101], [0.0, 0.09001015096522208], [0.09999999999999998, 1.0], [0.32209922837268856, 0.97]]","[[0.666673856290705, 0.9517518186203837], [0.8851278769005384, 1.0], [0.666673856290705, 0.9641218116696457], [0.666673856290705, 0.949974489360181], [0.0, 0.8257159927368192], [0.8333339968351549, 1.0], [0.9179984390096702, 0.9977952914425853]]","[[3.54, 82.20000000000002, 0.0010053572083049496, 8.94, 1.0040260302302147e-05, 1.2, 0.3222066739746025], [131.42000000000002, 398.00000000000006, 0.0606326949312628, 300.6, 0.06278000859552506, 3.0, 0.9694516819588554]]","[[0.0, 0.5234645669291339], [0.2045340050377834, 1.0], [0.01, 0.6691588747818975], [0.01, 0.561010101010101], [0.0, 0.10001015096522207], [0.0, 1.0], [0.32209922837268856, 0.97]]","[[0.0, 0.9531479509211059], [0.8851278769005384, 1.0], [0.666673856290705, 0.9709215782593082], [0.666673856290705, 0.9581618398035551], [0.0, 0.8333413439018961], [0.0, 1.0], [0.9179984390096702, 0.9977952914425853]]","[[1.0, 82.20000000000002, 0.0010053572083049496, 8.94, 1.0040260302302147e-05, 1.0, 0.3222066739746025], [133.96, 398.00000000000006, 0.06660379944787333, 336.24, 0.06975366297362688, 3.0, 0.9694516819588554]]","[[0.005, 0.5184645669291339], [0.2045340050377834, 1.0], [0.01, 0.6391588747818975], [0.01, 0.5310101010101009], [0.0, 0.09501015096522208], [0.04999999999999999, 1.0], [0.32209922837268856, 0.97]]","[[0.6165094311335262, 0.9524532508427457], [0.8851278769005384, 1.0], [0.666673856290705, 0.967601513795349], [0.666673856290705, 0.9541838643147246], [0.0, 0.8296290364773831], [0.7831630583359291, 1.0], [0.9179984390096702, 0.9977952914425853]]","[[2.2700000000000005, 82.20000000000002, 0.0010053572083049496, 8.94, 1.0040260302302147e-05, 1.1, 0.3222066739746025], [132.69, 398.00000000000006, 0.06361824718956806, 318.41999999999996, 0.06626683578457598, 3.0, 0.9694516819588554]]",-0.358222502659612,-0.9946889571820843,-0.9008136885473526,-0.9946889571820843,42,10,25,10,0.03758790027762682,0.006183942597431982,0.009799663265335743,0.007829619898355285,0.0013533215038400604,3.0304024242811107e-05,0.0006457012797740086,4.792910871658121e-05,-0.4451289264797068,-0.9954033244921584,-0.9408292465759419,-0.9954033244921584
5,"[[0.20866141732283466, 0.20866141732283466], [0.5717884130982368, 0.5717884130982368], [0.6466029346954569, 0.6466029346954569], [0.05387205387205387, 0.05387205387205387], [0.00034451794721965164, 0.00034451794721965164], [1.0, 1.0], [0.30228255774735246, 0.30228255774735246]]","[[54.0, 228.0, 0.0643590681857643, 35.0, 0.0002502951693986, 3.0, 0.3024100605134058], [54.0, 228.0, 0.0643590681857643, 35.0, 0.0002502951693986, 3.0, 0.3024100605134058]]","[[0.0, 0.8086614173228346], [0.0, 1.0], [0.0466029346954569, 1.0], [0.0, 0.6538720538720539], [0.0, 0.6003445179472198], [0.4000000000000001, 1.0], [0.0, 0.9022825577473523]]","[[0.0, 0.9846278053460544], [0.0, 1.0], [0.778070374518829, 1.0], [0.0, 0.9692488365839725], [0.0, 0.9630668090627735], [0.93367677859539, 1.0], [0.0, 0.9925571020431248]]","[[1.0, 1.0, 0.0046480230196589995, 3.0, 1.0040260302302147e-05, 1.8000000000000003, 0.000433453800505], [206.39999999999998, 398.00000000000006, 0.0995285817323787, 391.4000000000001, 0.41866955785550847, 3.0, 0.9018027789618699]]","[[0.01, 0.5086614173228347], [0.07, 1.0], [0.12660293469545691, 0.85], [0.02, 0.9238720538720538], [0.0, 0.6003445179472198], [0.0, 0.49], [0.0, 0.9022825577473523]]","[[0.666673856290705, 0.9510715396320204], [0.8075173155794478, 1.0], [0.850407805650869, 0.988236501243872], [0.71684189975415, 0.9942686447743437], [0.0, 0.9630668090627735], [0.0, 0.948366092412154], [0.0, 0.9925571020431248]]","[[3.54, 28.790000000000003, 0.01260949570847304, 14.88, 1.0040260302302147e-05, 1.0, 0.000433453800505], [130.2, 398.00000000000006, 0.08460082044085236, 551.78, 0.41866955785550847, 1.98, 0.9018027789618699]]","[[0.01, 0.9586614173228347], [0.060000000000000005, 1.0], [0.12660293469545691, 0.85], [0.02, 0.9238720538720538], [0.0, 0.6003445179472198], [0.0, 0.5], [0.0, 0.9422825577473524]]","[[0.666673856290705, 0.9969442114975142], [0.7963596904517074, 1.0], [0.850407805650869, 0.988236501243872], [0.71684189975415, 0.9942686447743437], [0.0, 0.9630668090627735], [0.0, 0.9498284100698472], [0.0, 0.9956968634324285]]","[[3.54, 24.820000000000004, 0.01260949570847304, 14.88, 1.0040260302302147e-05, 1.0, 0.000433453800505], [244.50000000000003, 398.00000000000006, 0.08460082044085236, 551.78, 0.41866955785550847, 2.0, 0.9417622935251009]]","[[0.01, 0.7336614173228346], [0.065, 1.0], [0.12660293469545691, 0.85], [0.02, 0.9238720538720538], [0.0, 0.6003445179472198], [0.0, 0.495], [0.0, 0.9222825577473523]]","[[0.666673856290705, 0.9775826413109829], [0.8021532816124097, 1.0], [0.850407805650869, 0.988236501243872], [0.71684189975415, 0.9942686447743437], [0.0, 0.9630668090627735], [0.0, 0.9491009440176958], [0.0, 0.9941440057427787]]","[[3.54, 26.805, 0.01260949570847304, 14.88, 1.0040260302302147e-05, 1.0, 0.000433453800505], [187.35, 398.00000000000006, 0.08460082044085236, 551.78, 0.41866955785550847, 1.99, 0.9217825362434854]]",-0.5007469874629549,-0.9916126218971629,-0.7054021386729209,-0.9916126218971629,154,12,30,12,0.16384291695460063,0.0804843810278971,0.16492044528964162,0.1212552284908281,0.01342765559988276,0.0018975517487986177,0.0023423404846706058,0.002137312061138217,-0.5391589956322176,-0.9930509380441731,-0.7804333086989804,-0.9930509380441731
6,"[[0.968503937007874, 0.968503937007874], [0.5944584382871537, 0.5944584382871537], [0.9252265791832414, 0.9252265791832414], [0.234006734006734, 0.234006734006734], [0.00024032790813905552, 0.00024032790813905552], [0.0, 0.0], [0.24770740586110832, 0.24770740586110832]]","[[247.0, 237.00000000000003, 0.0920872498863559, 142.0, 0.00017763663717970004, 1.0, 0.2478901460986829], [247.0, 237.00000000000003, 0.0920872498863559, 142.0, 0.00017763663717970004, 1.0, 0.2478901460986829]]","[[0.3685039370078739, 1.0], [0.0, 1.0], [0.3252265791832413, 1.0], [0.0, 0.8340067340067341], [0.0, 0.6002403279081391], [0.0, 0.6000000000000001], [0.0, 0.8477074058611083]]","[[0.9277404846230612, 1.0], [0.0, 1.0], [0.9186978279193816, 1.0], [0.0, 0.9868616082354267], [0.0, 0.9630542459966261], [0.0, 0.9630252593284717], [0.0, 0.9880410100890478]]","[[94.59999999999998, 1.0, 0.0323762047202506, 3.0, 1.0040260302302147e-05, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.0995285817323787, 498.4000000000001, 0.4185968993232895, 2.2, 0.8472828645471471]]","[[0.32850393700787395, 1.0], [0.01, 1.0], [0.3252265791832413, 1.0], [0.02, 0.8340067340067341], [0.0, 0.570240327908139], [0.0, 0.6000000000000001], [0.0, 0.8577074058611083]]","[[0.919423583588918, 1.0], [0.666673856290705, 1.0], [0.9186978279193816, 1.0], [0.71684189975415, 0.9868616082354267], [0.0, 0.9593430454527562], [0.0, 0.9630252593284717], [0.0, 0.9888898728127695]]","[[84.43999999999998, 4.970000000000001, 0.0323762047202506, 14.88, 1.0040260302302147e-05, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.0995285817323787, 498.4000000000001, 0.397675936188984, 2.2, 0.8572727431879549]]","[[0.28850393700787397, 1.0], [0.01, 1.0], [0.23522657918324133, 1.0], [0.02, 0.8340067340067341], [0.0, 0.5802403279081391], [0.0, 1.0], [0.0, 0.9177074058611083]]","[[0.9100254756918916, 1.0], [0.666673856290705, 1.0], [0.8952479750512728, 1.0], [0.71684189975415, 0.9868616082354267], [0.0, 0.9606013735289063], [0.0, 1.0], [0.0, 0.9937840463501113]]","[[74.27999999999999, 4.970000000000001, 0.02341954794533481, 14.88, 1.0040260302302147e-05, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.0995285817323787, 498.4000000000001, 0.4046495905670858, 3.0, 0.9172120150328014]]","[[0.30850393700787393, 1.0], [0.01, 1.0], [0.28022657918324134, 1.0], [0.02, 0.8340067340067341], [0.0, 0.5752403279081391], [0.0, 0.8], [0.0, 0.8877074058611083]]","[[0.9148769535197319, 1.0], [0.666673856290705, 1.0], [0.9079184134581794, 1.0], [0.71684189975415, 0.9868616082354267], [0.0, 0.9599749438734727], [0.0, 0.9838483504300019], [0.0, 0.9913783169596311]]","[[79.35999999999997, 4.970000000000001, 0.027897876332792705, 14.88, 1.0040260302302147e-05, 1.0, 0.000433453800505], [255.0, 398.00000000000006, 0.0995285817323787, 498.4000000000001, 0.4011627633780349, 2.6, 0.8872423791103781]]",-0.39769129108722445,-0.7248274028327242,-0.5251081241427226,-0.7248274028327242,13,10,18,10,0.10849770965204937,0.10715513027521267,0.23349663481053917,0.16385430818768854,0.005312719011100258,0.0005386844985454148,0.0008098079799968069,0.0006605599963894458,-0.5313749941885584,-0.8182540975074177,-0.6301349780275003,-0.8182540975074177
7,"[[0.12992125984251968, 0.12992125984251968], [0.1889168765743073, 0.1889168765743073], [0.7897889314275309, 0.7897889314275309], [0.84006734006734, 0.84006734006734], [0.036243446774823565, 0.036243446774823565], [0.0, 0.0], [0.5947537457531551, 0.5947537457531551]]","[[34.0, 76.0, 0.0786087107158021, 502.0, 0.0252849673881772, 1.0, 0.594585227924489], [34.0, 76.0, 0.0786087107158021, 502.0, 0.0252849673881772, 1.0, 0.594585227924489]]","[[0.0, 0.7299212598425198], [0.0, 0.7889168765743073], [0.18978893142753084, 1.0], [0.24006734006733998, 1.0], [0.0, 0.6362434467748236], [0.0, 0.6000000000000001], [0.0, 1.0]]","[[0.0, 0.977212697296398], [0.0, 0.9828385617126488], [0.8797121311384232, 1.0], [0.8967224166903722, 1.0], [0.0, 0.9672705974503253], [0.0, 0.9630252593284717], [0.0, 1.0]]","[[1.0, 1.0, 0.01889766554969679, 145.59999999999997, 1.0040260302302147e-05, 1.0, 0.000433453800505], [186.40000000000003, 314.2, 0.0995285817323787, 597.0, 0.443704230074287, 2.2, 0.9994213178812787]]","[[0.0, 0.7299212598425198], [0.0, 0.9189168765743073], [0.18978893142753084, 1.0], [0.24006734006733998, 1.0], [0.0, 0.36624344677482357], [0.0, 0.4900000000000001], [0.0, 0.82]]","[[0.0, 0.977212697296398], [0.0, 0.9938793781186005], [0.8797121311384232, 1.0], [0.8967224166903722, 1.0], [0.0, 0.9272951076085297], [0.0, 0.948366092412154], [0.0, 0.9856356589924827]]","[[1.0, 1.0, 0.01889766554969679, 145.59999999999997, 1.0040260302302147e-05, 1.0, 0.000433453800505], [186.40000000000003, 365.81, 0.0995285817323787, 597.0, 0.2554155618655376, 1.9800000000000002, 0.8196035023467394]]","[[0.0, 0.7799212598425198], [0.0, 0.9189168765743073], [0.15978893142753084, 1.0], [0.22006734006734, 1.0], [0.0, 0.3762434467748236], [0.0, 0.5000000000000001], [0.0, 0.83]]","[[0.0, 0.9820084815469352], [0.0, 0.9938793781186005], [0.867258172288634, 1.0], [0.8904261968262399, 1.0], [0.0, 0.9292449491769664], [0.0, 0.9498284100698472], [0.0, 0.9865130311975284]]","[[1.0, 1.0, 0.015912113291391524, 133.71999999999997, 1.0040260302302147e-05, 1.0, 0.000433453800505], [199.10000000000002, 365.81, 0.0995285817323787, 597.0, 0.2623892162436394, 2.0, 0.8295933809875471]]","[[0.0, 0.7549212598425198], [0.0, 0.9189168765743073], [0.17478893142753082, 1.0], [0.23006734006733998, 1.0], [0.0, 0.37124344677482357], [0.0, 0.4950000000000001], [0.0, 0.825]]","[[0.0, 0.9796503009714448], [0.0, 0.9938793781186005], [0.8737526720867046, 1.0], [0.8936427451636082, 1.0], [0.0, 0.9282765938125753], [0.0, 0.9491009440176958], [0.0, 0.9860756744533583]]","[[1.0, 1.0, 0.017404889420544155, 139.65999999999997, 1.0040260302302147e-05, 1.0, 0.000433453800505], [192.75000000000003, 365.81, 0.0995285817323787, 597.0, 0.2589023890545885, 1.9900000000000002, 0.8245984416671432]]",-0.36367644612026595,-0.9612985327349394,-0.4727200137310606,-0.9612985327349394,28,10,30,10,0.13534901952930647,0.0607722502595856,0.07333132515144265,0.06682109903543322,0.01111437002539726,0.010458299433853513,0.012360659364835732,0.011357797482447479,-0.47139330959087034,-0.9719241346970658,-0.5622987281583215,-0.9719241346970658
